Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
04.11.2020;00:00;1.074;467;1.487;4.529;0;43;1.645;3.247;909;1.163;13;392
04.11.2020;00:15;1.072;467;1.504;4.471;0;42;1.640;3.132;888;1.196;14;391
04.11.2020;00:30;1.069;471;1.518;4.473;0;42;1.631;3.071;874;1.154;17;391
04.11.2020;00:45;1.066;480;1.503;4.446;0;42;1.633;3.057;870;1.089;19;392
04.11.2020;01:00;1.064;468;1.521;4.468;0;42;1.635;3.031;869;1.059;3;392
04.11.2020;01:15;1.067;465;1.560;4.470;0;42;1.632;3.024;868;1.061;2;391
04.11.2020;01:30;1.066;464;1.581;4.409;0;42;1.632;3.021;877;1.088;2;390
04.11.2020;01:45;1.069;465;1.573;4.369;0;42;1.633;2.984;878;1.066;2;390
04.11.2020;02:00;1.069;488;1.565;4.333;0;42;1.625;2.950;874;1.026;12;389
04.11.2020;02:15;1.069;488;1.562;4.335;0;42;1.607;2.902;891;1.010;10;389
04.11.2020;02:30;1.067;494;1.578;4.331;0;42;1.590;2.904;916;1.036;10;389
04.11.2020;02:45;1.067;495;1.462;4.324;0;42;1.584;2.883;927;1.048;14;391
04.11.2020;03:00;1.069;492;1.344;4.321;0;42;1.601;2.839;938;1.072;43;388
04.11.2020;03:15;1.072;491;1.339;4.253;0;42;1.610;2.836;932;1.064;40;385
04.11.2020;03:30;1.069;482;1.345;4.176;0;42;1.604;2.843;936;1.092;14;386
04.11.2020;03:45;1.065;482;1.321;4.113;0;43;1.607;2.880;942;1.130;15;385
04.11.2020;04:00;1.067;478;1.306;4.070;0;43;1.595;2.988;968;1.201;3;383
04.11.2020;04:15;1.069;470;1.276;4.049;0;43;1.593;3.029;974;1.270;8;382
04.11.2020;04:30;1.073;460;1.284;4.019;0;44;1.592;3.086;982;1.355;2;384
04.11.2020;04:45;1.071;458;1.316;3.984;0;46;1.575;3.155;1.002;1.458;2;389
04.11.2020;05:00;1.073;467;1.316;3.930;0;46;1.581;3.346;1.039;1.642;10;388
04.11.2020;05:15;1.076;459;1.282;3.869;0;46;1.583;3.464;1.129;1.764;2;388
04.11.2020;05:30;1.074;461;1.293;3.838;0;46;1.590;3.564;1.251;1.801;2;386
04.11.2020;05:45;1.076;464;1.265;3.808;0;48;1.606;3.635;1.412;1.846;6;392
04.11.2020;06:00;1.076;459;1.224;3.827;0;48;1.612;3.656;1.538;2.028;12;395
04.11.2020;06:15;1.077;461;1.260;3.692;0;48;1.624;3.698;1.665;2.158;125;396
04.11.2020;06:30;1.076;479;1.229;3.608;0;48;1.632;3.719;1.841;2.218;239;396
04.11.2020;06:45;1.074;471;1.254;3.551;1;49;1.642;3.744;1.982;2.220;281;398
04.11.2020;07:00;1.072;477;1.243;3.570;9;52;1.642;3.746;2.065;2.278;225;401
04.11.2020;07:15;1.076;496;1.209;3.537;31;52;1.643;3.752;2.119;2.286;436;404
04.11.2020;07:30;1.076;501;1.239;3.436;83;52;1.643;3.765;2.154;2.287;735;405
04.11.2020;07:45;1.072;501;1.271;3.304;235;52;1.643;3.758;2.190;2.287;785;404
04.11.2020;08:00;1.076;504;1.248;3.138;414;52;1.643;3.777;2.213;2.314;829;399
04.11.2020;08:15;1.075;495;1.337;3.027;620;52;1.643;3.784;2.216;2.317;799;398
04.11.2020;08:30;1.084;487;1.256;2.929;869;53;1.643;3.796;2.234;2.335;569;398
04.11.2020;08:45;1.084;489;1.214;2.856;1.123;54;1.644;3.795;2.252;2.381;447;401
04.11.2020;09:00;1.088;507;1.249;2.730;1.377;54;1.644;3.808;2.274;2.406;584;408
04.11.2020;09:15;1.100;510;1.284;2.589;1.636;54;1.644;3.794;2.312;2.439;398;408
04.11.2020;09:30;1.102;478;1.255;2.462;1.907;54;1.644;3.793;2.314;2.455;379;408
04.11.2020;09:45;1.108;476;1.243;2.295;2.145;54;1.643;3.791;2.306;2.474;363;407
04.11.2020;10:00;1.108;535;1.217;2.105;2.361;54;1.658;3.786;2.330;2.514;358;408
04.11.2020;10:15;1.110;504;1.207;2.035;2.558;54;1.679;3.763;2.339;2.531;334;407
04.11.2020;10:30;1.111;500;1.194;1.995;2.746;55;1.688;3.769;2.348;2.536;277;405
04.11.2020;10:45;1.110;491;1.187;1.932;2.875;55;1.689;3.772;2.375;2.538;203;403
04.11.2020;11:00;1.105;503;1.162;1.870;3.017;55;1.689;3.768;2.381;2.525;219;405
04.11.2020;11:15;1.104;506;1.156;1.809;3.139;56;1.689;3.771;2.384;2.532;263;409
04.11.2020;11:30;1.100;511;1.075;1.801;3.160;56;1.689;3.778;2.384;2.534;354;411
04.11.2020;11:45;1.098;521;1.047;1.841;3.179;56;1.688;3.771;2.396;2.526;381;434
04.11.2020;12:00;1.102;522;1.043;1.838;3.142;56;1.687;3.772;2.412;2.530;257;448
04.11.2020;12:15;1.108;521;1.030;1.829;3.087;56;1.687;3.766;2.414;2.521;207;453
04.11.2020;12:30;1.110;509;1.023;1.842;2.976;54;1.688;3.767;2.416;2.513;264;458
04.11.2020;12:45;1.110;494;1.055;1.861;2.889;54;1.686;3.767;2.417;2.511;262;461
04.11.2020;13:00;1.109;478;1.077;1.827;2.765;54;1.683;3.757;2.435;2.517;192;472
04.11.2020;13:15;1.109;487;1.072;1.838;2.597;54;1.687;3.759;2.440;2.581;114;478
04.11.2020;13:30;1.107;495;1.110;1.876;2.421;54;1.686;3.739;2.440;2.595;94;491
04.11.2020;13:45;1.104;482;1.097;1.863;2.254;54;1.687;3.729;2.442;2.640;97;510
04.11.2020;14:00;1.099;507;1.129;1.820;2.047;53;1.685;3.726;2.421;2.610;53;511
04.11.2020;14:15;1.097;513;1.131;1.816;1.848;54;1.687;3.745;2.399;2.611;104;509
04.11.2020;14:30;1.100;514;1.111;1.826;1.652;54;1.687;3.771;2.391;2.602;133;506
04.11.2020;14:45;1.097;508;1.210;1.792;1.447;54;1.687;3.770;2.386;2.627;164;502
04.11.2020;15:00;1.096;495;1.198;1.769;1.224;54;1.687;3.765;2.329;2.668;278;502
04.11.2020;15:15;1.092;505;1.103;1.676;1.002;54;1.687;3.770;2.333;2.702;410;504
04.11.2020;15:30;1.093;512;1.030;1.581;749;54;1.687;3.783;2.344;2.751;502;504
04.11.2020;15:45;1.090;522;986;1.515;506;55;1.690;3.776;2.366;2.778;504;509
04.11.2020;16:00;1.089;488;959;1.514;294;56;1.688;3.793;2.357;2.739;522;516
04.11.2020;16:15;1.099;507;897;1.586;134;56;1.687;3.821;2.362;2.742;590;515
04.11.2020;16:30;1.100;523;885;1.626;45;56;1.688;3.852;2.368;2.765;805;515
04.11.2020;16:45;1.102;539;877;1.674;10;56;1.690;3.872;2.399;2.808;903;494
04.11.2020;17:00;1.101;519;896;1.729;0;56;1.689;3.889;2.416;2.844;1.100;465
04.11.2020;17:15;1.100;555;928;1.786;0;56;1.689;3.899;2.415;2.871;1.241;443
04.11.2020;17:30;1.099;550;947;1.889;0;56;1.689;3.901;2.425;2.834;1.327;410
04.11.2020;17:45;1.100;545;943;1.966;0;56;1.689;3.907;2.424;2.842;1.386;404
04.11.2020;18:00;1.096;517;996;2.065;0;56;1.689;3.912;2.413;2.868;1.258;413
04.11.2020;18:15;1.097;504;1.016;2.138;0;56;1.684;3.906;2.412;2.869;1.095;410
04.11.2020;18:30;1.096;522;1.029;2.266;0;56;1.686;3.913;2.413;2.864;916;411
04.11.2020;18:45;1.093;503;1.022;2.356;0;56;1.688;3.914;2.401;2.874;848;411
04.11.2020;19:00;1.095;549;1.000;2.458;0;55;1.688;3.908;2.363;2.862;909;408
04.11.2020;19:15;1.094;534;946;2.520;0;55;1.687;3.915;2.352;2.784;916;408
04.11.2020;19:30;1.095;500;922;2.569;0;55;1.688;3.907;2.340;2.705;734;409
04.11.2020;19:45;1.096;477;970;2.639;0;55;1.681;3.883;2.332;2.627;618;409
04.11.2020;20:00;1.096;492;921;2.729;0;55;1.685;3.887;2.316;2.554;610;410
04.11.2020;20:15;1.094;490;858;2.764;0;55;1.689;3.880;2.275;2.547;445;411
04.11.2020;20:30;1.097;485;818;2.796;0;55;1.688;3.873;2.237;2.541;194;410
04.11.2020;20:45;1.097;495;842;2.832;0;55;1.684;3.858;2.177;2.491;180;410
04.11.2020;21:00;1.093;509;872;2.869;0;55;1.688;3.877;2.114;2.483;46;410
04.11.2020;21:15;1.094;507;895;2.836;0;55;1.688;3.860;2.062;2.422;39;410
04.11.2020;21:30;1.094;501;918;2.860;0;55;1.676;3.845;1.954;2.344;42;409
04.11.2020;21:45;1.098;480;917;2.861;0;53;1.679;3.843;1.831;2.265;49;405
04.11.2020;22:00;1.094;505;938;2.841;0;53;1.688;3.883;1.714;2.181;61;402
04.11.2020;22:15;1.098;493;944;2.809;0;53;1.690;3.891;1.627;2.065;58;402
04.11.2020;22:30;1.097;485;997;2.793;0;51;1.687;3.882;1.564;1.926;45;398
04.11.2020;22:45;1.096;474;954;2.783;0;48;1.682;3.882;1.504;1.811;39;392
04.11.2020;23:00;1.094;488;903;2.754;0;47;1.684;3.914;1.436;1.711;62;382
04.11.2020;23:15;1.092;484;950;2.723;0;46;1.685;3.912;1.379;1.675;88;381
04.11.2020;23:30;1.096;474;973;2.718;0;46;1.684;3.908;1.313;1.633;85;388
