Betreiber;Adresse;Postleitzahl Ort;Bundesland;Längengrad [DG];Breitengrad [DG];Inbetriebnahmedatum;Anschlussleistung [kW];Art der Ladeeinrichtung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
innogy eMobility Solutions GmbH;Bohlweg 70-72;48147 Münster;Nordrhein-Westfalen;7,643504;51,966941;08.04.2011;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Weseler Straße 269;48151 Münster;Nordrhein-Westfalen;7,608871;51,939643;08.04.2011;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
L. Stroetmann Lebensmittel GmbH & Co. KG;Friedrich-Ebert-Straße 143;48153 Münster;Nordrhein-Westfalen;7,630839;51,944284;16.03.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Hammer Straße 455;48153 Münster;Nordrhein-Westfalen;7,632019;51,922455;22.02.2012;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Gustav-Stresemann-Weg 62;48155 Münster;Nordrhein-Westfalen;7,647657;51,939792;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Kiesekamps Mühle 1;48155 Münster;Nordrhein-Westfalen;7,641078;51,949327;29.10.2019;150;Schnellladeeinrichtung;1;DC Kupplung Combo, DC CHAdeMO;150;;;;;;;;;;
EnKL GmbH;Loddenheide 5;48155 Münster;Nordrhein-Westfalen;7,646728;51,938871;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Loddenheide 5;48155 Münster;Nordrhein-Westfalen;7,646728;51,938871;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Loddenheide 5;48155 Münster;Nordrhein-Westfalen;7,646728;51,938871;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Egbert-Snoek-Straße 1;48156 Münster;Nordrhein-Westfalen;7,646728;51,938871;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;An den Speichern 6;48157 Münster;Nordrhein-Westfalen;7,635278;51,9975;25.07.2013;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Steinfurter Str. 166;48159 Münster;Nordrhein-Westfalen;7,600458;51,977597;24.03.2011;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Ratio Erdöl GmbH & Co KG;Roxeler Str. 418;48161 Münster;Nordrhein-Westfalen;7,56973;51,95694;12.12.2016;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Roxeler Straße 420;48161 Münster;Nordrhein-Westfalen;7,572103;51,957796;04.11.2019;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Roxeler Straße 420;48161 Münster;Nordrhein-Westfalen;7,572103;51,957796;04.11.2019;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
L. Stroetmann Großmärkte GmbH & Co. KG;Harkortstraße 30;48163 Münster;Nordrhein-Westfalen;7,566931;51,922444;16.03.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Kopenhagener Straße 19;48163 Münster;Nordrhein-Westfalen;7,58415;51,89292;25.11.2014;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Weseler Str. 480;48163 Münster;Nordrhein-Westfalen;7,591035;51,930728;25.06.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Weseler Str. 480;48163 Münster;Nordrhein-Westfalen;7,591588;51,930731;25.06.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Weseler Str. 480;48163 Münster;Nordrhein-Westfalen;7,591035;51,930728;25.06.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Weseler Str. 480;48163 Münster;Nordrhein-Westfalen;7,591035;51,930728;25.06.2018;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Hakvoort GmbH;Weseler Straße 729-735;48163 Münster;Nordrhein-Westfalen;7,57015;51,92427;01.02.2019;4,14;Normalladeeinrichtung;2;AC Steckdose Typ 2;4,14;;AC Steckdose Typ 2;4,14;;;;;;;
L. Stroetmann Lebensmittel GmbH & Co. KG;Bergiusstraße 3;48165 Münster;Nordrhein-Westfalen;7,65273;51,904842;16.03.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
innogy eMobility Solutions GmbH;Albersloher Weg 580;48167 Münster;Nordrhein-Westfalen;7,67395;51,922328;10.09.2012;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
